ticker,baseline_pca,tuned_pca,baseline_if,tuned_if,baseline_ae,tuned_ae,diff_pca,diff_if,diff_ae
CRM,0.014208390902306477,4.874353604703695e-32,0.44751217056207104,0.4721627118828246,0.012767281651611128,0.39860498288014506,-0.014208390902306477,0.02465054132075356,0.38583770122853395
CSCO,0.07705244788757967,1.1429518797236251e-31,0.5116879155435109,0.5333526253840714,0.07504055346303334,0.21060092548067547,-0.07705244788757967,0.02166470984056046,0.13556037201764212
CSGP,0.09226165976570218,4.2317933414399535e-32,0.4562006835507988,0.492806852134893,0.11504797322227693,0.09809823197426498,-0.09226165976570218,0.03660616858409421,-0.01694974124801195
CSX,0.08772395553026946,2.857379699309063e-32,0.45355770032085696,0.49605135314679843,0.1703905638764522,0.5602227430384809,-0.08772395553026946,0.042493652825941475,0.3898321791620286
CTAS,0.08078776436635116,1.568757481973603e-32,0.4182412872298733,0.4429941974647444,0.02168568272663245,0.09852298144024609,-0.08078776436635116,0.024752910234871084,0.07683729871361364
CTLT,0.011239368823653546,1.988960378930818e-32,0.4619043587859762,0.4985527806362948,0.012305563862024926,0.09018660035717704,-0.011239368823653546,0.036648421850318635,0.07788103649515211
CTRA,0.12172565602887957,6.290787536530307e-32,0.594575272056683,0.6098954871811045,0.06753576622547722,0.2008467297930766,-0.12172565602887957,0.015320215124421499,0.1333109635675994
CTSH,0.124123981533014,1.568757481973603e-32,0.44317634701704756,0.4724491419163551,0.1269247711648944,0.21321755007821672,-0.124123981533014,0.029272794899307564,0.08629277891332232
CTVA,0.0653971898690179,2.633271487598548e-32,0.45563127091743205,0.48408270024729794,0.08774810117420165,0.06992510546027239,-0.0653971898690179,0.028451429329865885,-0.017822995713929257
CVS,0.016399453000986223,2.717312066989991e-32,0.4705959087359733,0.5095982198069302,0.019492374411150107,0.1074844951071002,-0.016399453000986223,0.03900231107095692,0.0879921206959501
CVX,0.040810082994433644,5.154488869341838e-32,0.4633343380413025,0.4968484403572254,0.052663359714403765,0.14583784638225095,-0.040810082994433644,0.033514102315922945,0.09317448666784718
CZR,0.04931119340429114,1.400676323190717e-32,0.4307619109602287,0.4719794710005239,0.07979127912517382,0.07181993001449621,-0.04931119340429114,0.0412175600402952,-0.007971349110677609
D,0.14530147280119785,1.6808115878288603e-32,0.4433375221037847,0.47647219339152386,0.12149712374297024,0.223451844517824,-0.14530147280119785,0.03313467128773917,0.10195472077485375
DAL,0.06429635011185683,3.6137449138320496e-32,0.45610392894695817,0.4886668069219302,0.09467860057957317,0.07961801631491791,-0.06429635011185683,0.03256287797497204,-0.015060584264655258
DD,0.4290301181058121,4.230042496035965e-32,0.48454042719252766,0.5267152870075879,0.3795525810492269,0.3931980275609586,-0.4290301181058121,0.042174859815060195,0.013645446511731718
DE,0.03325080581996234,1.568757481973603e-32,0.43787255435227324,0.4573122933142942,0.04680327991183411,0.09615953319333098,-0.03325080581996234,0.019439738962020947,0.04935625328149687
