ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
MO,Altria Group Inc,14388,Consumer Defensive,Tobacco,FALSE,FALSE,TRUE
MOH,Molina Healthcare Inc,7814,Healthcare,Healthcare Plans,FALSE,FALSE,FALSE
MOS,The Mosaic Co,7333,Basic Materials,Agricultural Inputs,FALSE,FALSE,FALSE
MPC,Marathon Petroleum Corp,4901,Energy,Oil & Gas Refining & Marketing,TRUE,FALSE,FALSE
MPWR,Monolithic Power Systems Inc,7308,Technology,Semiconductors,FALSE,FALSE,FALSE
MRK,Merck & Co Inc,27610,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
MRNA,Moderna Inc,2177,Healthcare,Biotechnology,FALSE,FALSE,FALSE
MRO,Marathon Oil Corp,12254,Energy,Oil & Gas E&P,TRUE,FALSE,FALSE
MS,Morgan Stanley,14126,Financial Services,Capital Markets,FALSE,FALSE,FALSE
MSCI,MSCI Inc,6217,Financial Services,Financial Data & Stock Exchanges,,FALSE,FALSE
MSFT,Microsoft Corp,14134,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
MSI,Motorola Solutions Inc,12117,Technology,Communication Equipment,FALSE,FALSE,FALSE
MTB,M&T Bank Corp,10290,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
MTCH,Match Group Inc,11652,Communication Services,Internet Content & Information,FALSE,FALSE,FALSE
MTD,Mettler-Toledo International Inc,9870,Healthcare,Diagnostics & Research,FALSE,FALSE,FALSE
MU,Micron Technology Inc,12974,Technology,Semiconductors,FALSE,FALSE,FALSE
NCLH,Norwegian Cruise Line Holdings Ltd,4326,Consumer Cyclical,Travel Services,FALSE,FALSE,TRUE
NDAQ,Nasdaq Inc,8180,Financial Services,Financial Data & Stock Exchanges,FALSE,FALSE,FALSE
NDSN,Nordson Corp,12660,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
NEE,NextEra Energy Inc,19138,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
NEM,Newmont Corp,26635,Basic Materials,Gold,FALSE,FALSE,FALSE
NFLX,Netflix Inc,8219,Communication Services,Entertainment,FALSE,FALSE,FALSE
NI,NiSource Inc,13412,Utilities,Utilities - Regulated Gas,TRUE,FALSE,FALSE
NKE,Nike Inc,12455,Consumer Cyclical,Footwear & Accessories,FALSE,FALSE,FALSE
